word;definition;type;tags;links
abjure;solemnly renounce (a belief, cause, or claim);verb;action;
abrogation;the repeal or abolition of a law, right, or agreement;noun;(empty);
ad hominem;directed against the person as opposed to their position;translation;latin;
adamantine;unbreakable;adjective;(empty);
alacrity;brisk and cheerful readiness;noun;(empty);
amoral;something completely lacking morals;adjective;(empty);immoral
aphorism;a concise statement of scientific principle, typically by an ancient and classical author;noun;language;
apropos;with reference to, concerning, very appropriate to a situation;preposition;(empty);
assiduous;showing great care and perseverance;adjective;person,attribute,compliment;
astringent;涩;adjective;(empty);
august;respected and impressive;adjective;compliment,attribute;
aver;to state or to assert;verb;person,action;
betimes;before the usual or expected time;adverb;archaic;
ceteris paribus;all else equal;translation;latin;
chekhovian;a term meaning similar to or evocative of plays and short stories of the Russian writer Anton Chekhov - in that no mentioned or noted detail is unimportant ultimately;adjective;(empty) ;
cognate;related, connected;adjective;language;
concupiscence;strong sexual desire / lust;noun;sex;
connubial;relating to marriage or the relationship of a married couple;adjective;(empty);
consanguineous;relating to or denoting people descended fromt he same ancestor;adjective;person;
contumacious;stubbornly disobedient of authority;adjective;person,attribute;
conundrum;anything that baffles;noun;(empty);
despondent;in low spirits from loss of hope or courage;adjective;person;
desultory;lacking a plan, purpose, or enthusiasm / unfocused conversation;adjective;(empty);
diction;the style of enunciation, the choice and use of words and phrases;noun;language;
effervescence;vivacity and enthusiasm / bubbles in liquid (fizz);noun;(emptY);
emolument;a salary, fee, or profit from employment or office;noun;(empty);
eo ipso;by that fact alone;translation;latin;
ephemera;something created or enjoyed for a short time;noun;(empty);
epicurean;fond of sensual pleasures and luxuries;adjective;person,insult,philosophy;
equanimity;mental calmness and eveness of temper (in a difficulty);noun;compliment;
erudite;having or showing knowledge that is gained by studying / prossessing or displaying erudition;adjective;compliment,attribute;erudition
erudition;the quality of having or showing great knowledge;noun;(empty);erudite
evanescent;soon passing out of sight, memory, or existence;adjective;(empty);
expedient;convenient and practical though possibly imporper or immoral;adjective;(empty);
fascicle;a separately published installment of a book;noun;(empty);
foible;a minor weakness or eccentricity in someone's character;noun;person,attribute;
foible;(of fencing) the weaker part of a blade, from the middle to the point;noun;(empty);
gallant;brave / chivalrous towards women;adjective;person,compliment;
harmonious;peaceful, not involving war or violence;adjective;(empty);tranquil
heresiarch;founder of a heresy;noun;person;
immoral;something against pre-established morals;adjective;(empty);amoral
in medias res;lit. in the middle of things;adjective;translation, latin, phrases;
incipient;in an initial stage, beginning to happen or develop;adjective;(empty);
incorrigible;incapable of being corrected or amended;adjective;person,insult;
indolent;lazy, wanting to avoid activity or exertion;adjective;person, insult;
insipid;lacking flavour, lacking vigor or interest;adjective;insult;
jurisprudence;the study, knowledge, or science of law;noun;(empty);
lampoon;publicly criticize by using ridicule, irony, or sarcasm;verb;action;
lascivious;(of a person) feeling or revealing an overt and often offensive sexual desire;adjective;person,attribute,insult,sex;
lucre;money, especially when gained in a dishonorable way;noun;(empty);
lucullan;extremely luxurious;adjective;(empty);
magnanimous;generous or forgiving;adjective;compliment;
mendacity;untruthfulness, lying;noun;person,attribute,insult;
mummers;an actor in a traditional masked mime;noun;person;
mummery;a performance by mummers;noun;(empty);
nugatory;of no value or importance;adjective;insult;
nurturance;emotional and physical nourishment and care given to someone;noun;(empty);
obstinacy;the quality of being obstinate / stubborness;adjective;person,insult;
odious;extremely unpleasant / repulsive;adjective;(empty);
omnibus;a volume containing several previously separated items;noun;(empty);
onerous;tedious;adjective;(empty);
opprobrious;(of language) expressing scorn or criticism;adjective;language;
ostentacious;pretentious, designed to impress or attract notice;adjective;insult;
ostracize;exclude from whatever;verb;action;
palladium;aside from the element, can refer to a metaphorical safeguard;noun;archaic;
palliation;to reduce the violence of a disease / to cover by excuses;verb;(empty);
parturition;the action of giving birth to young;verb;person,action;
pernicious;having a harmful effect, especially in a gradual or subtle way;adjective;(empty);
phlegmatic;having ann unemotional and stolidly calm disposition;adjective;person,attribute,compliment;
pithy;concise and forcefully expressive;adjective;language;
poesy;poetry / the art or composition of poetry;noun;(empty);
portent;a sign or warning that something, especially something momentous or calamitous is likely to happen;noun;(empty);portentous
portentous;of or like a portent, done in a pompously solemn manner;adverb;person,attribute,insult;portent
praeternatural;beyond what is normal and natural;adjective;(empty);
profess;to claim that one has a quality or feeling;verb;person,action;
proffer;hold out something for someone to accept;verb;person,action;
prurient;having or encouraging an excessive interest in sexual matters;adjective;insult,sex;
purview;scope of influence or concern / jurisdiction;noun;(empty);
pyrrhonism;a school of skepticism that emphasizes the suspension of judgement about all matters of dispute;noun;philosophy,school;pyrrhonist
pyrrhonist;a person who follows pyrrhonism;noun;person,philosophy;pyrrhonism
repartee;speech which is quick, witty comments or replies;noun;language;
requisite;made necessary by particular circumstances;adjective;(empty);
sagacious;having or showing keen mental discernment;adjective;compliment;sagacity
sagacity;the quality of being sagacious;adjective;(empty);sagacious
sardonic;bitter or scournful / mocking, sneering, cynical;adjective;(empty);
saturnian;prosperous/peaceful;adjective;(empty);
serendipitous;occuring in a beneficial or happy way;adjective;(empty);
significations;the representation or conveying of meaning / i.e. meaning;noun;(empty);
stolid;calm, dependable, and showing little emotion or animation;adjective;person,attribute,compliment;
suzerainty;the right of a country to partially control another;noun;(empty);
telluric;earthy;adjective;attribute;
temerity;excessive confidence or boldness, audacity;noun;insult;
theomancer;divination or the practice of trying to predict the future;noun;person;
tranquil;peaceful, free from disturbance;adjective;(empty);harmonious
vaunt;to make a vain display of one's own worth or attainments;verb;person,action;
viand;an item of food;noun;(empty);
viaticum;the Eucharist as given to a person near or in danger of death;noun;religion;
vicissitudes;unwelcome changes or changes in fortune;adjective;(empty);
vivacity;the quality of being attractively lively and animated;adjective;person,compliment;
vivifying;enlighten or animate;verb;(empty);
votaries;(plural) a person who has made vows of dedication to a religious service;noun;religion,person,attribute;
vroucolacus;I have no idea this was in Calmet;noun;unknown;
weal;can refer to either a welt or that which is best for someone or something;noun;archaic;
wistful;pensive;adjective;(empty);
